"1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015"
"10" 1803196 1758116 1665274 1624009 1824878 1957590 1959975 1928089 1878916 1587560 1705640 2349915 2444788 2395248 2172709 2007667 1881413 1768972 1681126 1659539 1570803 1515889 1558883 1580685 1555793 1543622 1579655 1637708 1696710 1696435 1534990 1839940 1845662 1885562 1924100 1979447 2025152 2047696 1996014 1894699 1808556 1731213 1681085 1619464 1572565 1516837 1501130 1493681 1468489 1415396 1363648 1332587 1293436 1254094 1224115 1202138 1198041 1186117 1198841 1192424 1177126 1182422 1182727 1167887 1164923 1152150 1133072 1105377 1081170
"11" 1766196 1801108 1758074 1665138 1620972 1824284 1957643 1961823 1928404 1877419 1583282 1704208 2351540 2444534 2394336 2171206 2007409 1882258 1769041 1679952 1658265 1570779 1516980 1559403 1581187 1555256 1555296 1591963 1638872 1697381 1696672 1535763 1840721 1846763 1887033 1924827 1980034 2025889 2048108 1996341 1895099 1809376 1731836 1681948 1620170 1572768 1516694 1501125 1493537 1468175 1415731 1363757 1333005 1291922 1248311 1223073 1202630 1197491 1186076 1201861 1194492 1177244 1183070 1183209 1168935 1164937 1152318 1133321 1105580
"12" 1709271 1762913 1799742 1758434 1664671 1620649 1823881 1957989 1963860 1926970 1872663 1579060 1702920 2353160 2443115 2391287 2169816 2007276 1883102 1768499 1679145 1657030 1570825 1518072 1559790 1581912 1566139 1566994 1592805 1639739 1697884 1696884 1536554 1841525 1847812 1888073 1925578 1980676 2026605 2048376 1996639 1895491 1810173 1732450 1682563 1620466 1572980 1516523 1501131 1493328 1469186 1416340 1364615 1333915 1293065 1247516 1224169 1202868 1197763 1188561 1204861 1196577 1177379 1183734 1183667 1169294 1165307 1152880 1133712
"13" 1723119 1708021 1759991 1798564 1757884 1662673 1620587 1823690 1958411 1963359 1920375 1867832 1574856 1701633 2352390 2437325 2388234 2168500 2007162 1882364 1765638 1678313 1655825 1570798 1518901 1559947 1594236 1577008 1567307 1593409 1639679 1698419 1697062 1537307 1842396 1848561 1889095 1926309 1981283 2027014 2048147 1996876 1895889 1810970 1732915 1682419 1620726 1573166 1516332 1501054 1494140 1469328 1416569 1365271 1334755 1291998 1247955 1223586 1202656 1199361 1191043 1207870 1198643 1177508 1184363 1183677 1169305 1165479 1153111
"14" 1725127 1719346 1707015 1757301 1796621 1754025 1660816 1620474 1823453 1956307 1955233 1913641 1863154 1570662 1698435 2344209 2431492 2385281 2167196 2004911 1876547 1762742 1677475 1654562 1570531 1519152 1571525 1606559 1576467 1567376 1593311 1639604 1698942 1697249 1538122 1843445 1849349 1890077 1927031 1981356 2026455 2047927 1997111 1896242 1811584 1733005 1682191 1620925 1573308 1516115 1502596 1495042 1470430 1416549 1363261 1333508 1292647 1248173 1223610 1201802 1200921 1193498 1210857 1200679 1177605 1184578 1183881 1169594 1165725
"15" 1707243 1719494 1715676 1705975 1754289 1791997 1750302 1658984 1620471 1820662 1946231 1946897 1906915 1858345 1565108 1689095 2335989 2425714 2382199 2163697 1996325 1870667 1759844 1676599 1652722 1569477 1528460 1583039 1607175 1575437 1566744 1593203 1639509 1699415 1697367 1539077 1844406 1850049 1890944 1926662 1979893 2025890 2047629 1997291 1895991 1811847 1732998 1681969 1621138 1573380 1517853 1503877 1496484 1472332 1418369 1363150 1334364 1293359 1248133 1219525 1200925 1202481 1195905 1213833 1202688 1177919 1184819 1184059 1169792
"16" 1654444 1698792 1713924 1711883 1703655 1750298 1787395 1746470 1657006 1617807 1810237 1935715 1938462 1899943 1851713 1555282 1679742 2327596 2419616 2376824 2153977 1987553 1864644 1756678 1674217 1649006 1577600 1537510 1582801 1606442 1572989 1565926 1592876 1639176 1699048 1697227 1539868 1845084 1850597 1889677 1923175 1978234 2025065 2047103 1995908 1893776 1811920 1732892 1681612 1621147 1571639 1515554 1501732 1494465 1470847 1414402 1361118 1331398 1294343 1243295 1215392 1200000 1203960 1198296 1216730 1202253 1177411 1184140 1183578
"17" 1620214 1643034 1690398 1708026 1707311 1697844 1746266 1782553 1742248 1652606 1607180 1799400 1925101 1929693 1891902 1839733 1545367 1670218 2318875 2412872 2364918 2143975 1978586 1858177 1752749 1667695 1654787 1585292 1537207 1581372 1602055 1570313 1564780 1592289 1637861 1696547 1696816 1540396 1845555 1848610 1882328 1919450 1976283 2024002 2044610 1990222 1891361 1811858 1732623 1681064 1621466 1570907 1515366 1502087 1495175 1468053 1411788 1359796 1332006 1287569 1238416 1211250 1199026 1205401 1200600 1215960 1201695 1176778 1183480
"18" 1582145 1606818 1631582 1681780 1701586 1701296 1692040 1741980 1777345 1735933 1641465 1596192 1788292 1914263 1920597 1881442 1827763 1535291 1660509 2311232 2404751 2352853 2133788 1969337 1852711 1747466 1671218 1660485 1583792 1535787 1576634 1597659 1567568 1563634 1590783 1634362 1694035 1696358 1540951 1843344 1840040 1874984 1915559 1974220 2020782 2036922 1984436 1888945 1811657 1732251 1682333 1622762 1572212 1514856 1498906 1496166 1469183 1412321 1361586 1324435 1280724 1233474 1206995 1197991 1206815 1201013 1216358 1201992 1176980
"19" 1560808 1569425 1593747 1620104 1673530 1694459 1695285 1686003 1737265 1770038 1723448 1629758 1585012 1776906 1904266 1911356 1870982 1815733 1525132 1652494 2306369 2396634 2340661 2123434 1962670 1851058 1752665 1674736 1656480 1581590 1530898 1571843 1593080 1564804 1561632 1586209 1630799 1691429 1695837 1538902 1832936 1831302 1867448 1911605 1970204 2011329 2028990 1978510 1886368 1811339 1728069 1678490 1619176 1567819 1510699 1494922 1491753 1464259 1409795 1353983 1316723 1273811 1228458 1202721 1196906 1204987 1198895 1214070 1200173
"20" 1524926 1546307 1557151 1580781 1610001 1666599 1687670 1689133 1679615 1730990 1757535 1710684 1618019 1573691 1767652 1898161 1902329 1860525 1803639 1517188 1649641 2301433 2388313 2328223 2116207 1964184 1855858 1757759 1668328 1652464 1577515 1526122 1566984 1588582 1561792 1557101 1581667 1627235 1688826 1692913 1529408 1822604 1822585 1859823 1906454 1960564 2001916 2021131 1972662 1883777 1809359 1726012 1675881 1615432 1564518 1506924 1489777 1485944 1458865 1402520 1346333 1309011 1266874 1223413 1198441 1193553 1201161 1194651 1210367
