"1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015"
"46" 784764 810790 819844 807815 780951 789791 788032 879320 891381 919274 927435 945694 965479 966479 980293 969366 978972 956610 938025 963057 1090258 1056568 1111632 1171179 1254320 1351356 1413759 1436851 1475864 1511444 1542354 1593324 1616311 1624070 1616986 1674961 1703122 1667617 1590691 1553288 1748468 1872459 1884117 1846146 1795085 1506062 1629207 2285939 2366015 2320543 2109825 1956868 1835538 1724993 1637257 1616557 1549886 1497033 1533238 1553080 1524031 1516506 1543916 1589206 1644742 1642480 1486924 1779424 1788885
"47" 732795 773167 801652 812765 801358 776235 785289 784168 874486 886128 913998 921483 940009 960337 961312 975828 965216 974840 952481 934233 960302 1087178 1054002 1108050 1167220 1249457 1351991 1415009 1435956 1474979 1505464 1536740 1587459 1610412 1618276 1611895 1670357 1698103 1662923 1586301 1548648 1743424 1867430 1880157 1841951 1791723 1502720 1626307 2281956 2361766 2315895 2104376 1952705 1831286 1721796 1634100 1612646 1547539 1493707 1531835 1551598 1522925 1515710 1543236 1588401 1642007 1640003 1484565 1776396
"48" 724279 720539 762427 792369 805856 795864 771768 780529 780088 869082 880393 908329 915593 934259 954673 955876 970982 960782 970494 947921 930504 957300 1083877 1051289 1103814 1161731 1248551 1352480 1411148 1433816 1469502 1499275 1530860 1581040 1604276 1612414 1606444 1665286 1692714 1658042 1581886 1543860 1738169 1862220 1875860 1838332 1787823 1499002 1623278 2277328 2356507 2309848 2098991 1947107 1825545 1718071 1629567 1609514 1544075 1492143 1530274 1549972 1521559 1514739 1542416 1585484 1639228 1637241 1482466
"49" 686019 714006 708877 751754 783716 799192 790532 767043 775521 775297 862578 874011 902593 909347 927845 948043 950137 965802 955951 965572 943499 926601 954110 1080173 1047958 1098634 1159815 1247493 1347909 1406469 1429380 1463411 1492904 1524644 1574571 1598357 1606244 1600570 1660044 1687289 1653547 1577459 1538733 1732645 1856999 1871415 1834267 1783642 1495158 1619688 2271600 2349417 2303646 2091740 1939870 1821444 1712591 1625953 1605703 1542165 1490432 1528510 1548161 1520010 1513513 1539231 1582336 1635885 1633796
"50" 660361 677814 704461 697321 741983 777210 792704 784982 762009 770237 769087 855430 867584 896673 902701 920826 941188 944238 960586 949885 960260 938795 922379 950451 1075660 1043636 1097314 1157485 1241804 1342843 1399652 1424523 1457114 1486163 1518166 1568357 1591872 1599435 1594311 1654052 1681940 1648696 1572590 1533262 1727105 1852732 1866627 1829707 1778957 1490861 1614907 2264685 2342292 2297050 2087124 1934681 1814749 1708340 1622211 1603615 1539967 1488437 1526454 1546148 1518209 1509923 1535733 1578896 1632573
"51" 649482 651931 670156 694937 686968 736096 770664 785961 779091 756483 763353 762383 848239 860947 889893 895855 913354 934159 938057 953770 940894 954731 933754 917877 946015 1070299 1043136 1095495 1150973 1235856 1336118 1392351 1419655 1450541 1479159 1511087 1561735 1585027 1592480 1587983 1646932 1676639 1643486 1567441 1528152 1723034 1847991 1861432 1824977 1773839 1485884 1609188 2257269 2332194 2283523 2081203 1927128 1809813 1704205 1620237 1601301 1537580 1486215 1524115 1543806 1514335 1506398 1532005 1575199
"52" 616211 638751 644160 662583 685829 680668 729955 763768 778979 772826 749312 755894 755616 840977 853759 881465 888546 905752 926694 930763 943341 931635 948744 928447 912719 939813 1068857 1042268 1089434 1144445 1229660 1328852 1384725 1414375 1443631 1472513 1503792 1554237 1577684 1585177 1581534 1639507 1670738 1638021 1562165 1524242 1718429 1842814 1855677 1819399 1767535 1479641 1603348 2249899 2326873 2276765 2072307 1920929 1804666 1701676 1617799 1598732 1534838 1483680 1521474 1539456 1510475 1502561 1528184
"53" 579525 605716 628644 636410 655069 678501 674251 723414 756691 772131 764944 741526 748464 748478 833716 846103 872524 881078 897689 919269 921047 932685 921941 942327 922755 907098 937098 1066773 1037170 1083138 1138479 1223207 1321387 1376675 1408190 1436607 1465369 1495931 1546480 1570458 1578719 1574899 1631625 1664485 1632378 1557409 1519918 1713354 1837148 1849307 1812308 1759973 1473241 1595980 2239874 2318881 2265238 2064660 1915221 1802107 1699144 1615239 1595868 1531774 1480980 1516709 1535059 1506122 1498425
"54" 571710 569790 595894 618578 628559 648551 670999 667455 716586 749422 764825 756442 733858 740631 741147 827780 837807 863470 873190 889650 912600 911134 921556 911997 935752 917088 904743 934115 1060425 1031595 1077434 1132373 1216421 1313634 1368624 1400533 1429395 1457832 1487539 1538657 1564208 1571927 1567781 1623500 1658083 1626550 1552167 1515153 1708035 1830827 1841847 1804244 1752580 1467399 1591900 2231704 2306602 2256547 2058176 1912450 1799244 1696188 1612327 1592529 1528397 1476115 1512017 1530331 1501645
"55" 522382 563601 560739 586323 609032 621593 642122 662903 660467 709568 742013 756890 747927 725520 732460 734480 821433 829345 854035 865242 883339 905531 900877 909941 903411 929566 914433 902107 927230 1054352 1025388 1071649 1125923 1209308 1305637 1361240 1392547 1421211 1449752 1479258 1531314 1557275 1564716 1560131 1615524 1651659 1620270 1546324 1510063 1701819 1822735 1832769 1796030 1746017 1466002 1585407 2219701 2297319 2249092 2054552 1909307 1795865 1692827 1609211 1588748 1523009 1471084 1506853 1525301
"56" 529694 515498 556025 551589 576845 601452 614723 634986 654944 653339 701340 733442 749059 739013 716863 724462 727317 814771 820448 844550 858272 876934 897977 889911 900020 900211 926654 911375 895807 919828 1047968 1019070 1065424 1119244 1201861 1298196 1353360 1383782 1412827 1441378 1471551 1523598 1550065 1557040 1552148 1608676 1644644 1613352 1540339 1504094 1693945 1813460 1823907 1788757 1741327 1459734 1576084 2209867 2290124 2244671 2050717 1905552 1792181 1689100 1605497 1582599 1517466 1465753 1501355
"57" 546696 521942 509329 548445 542472 569016 593875 607274 627687 646732 645056 692493 725201 740730 729611 707959 715923 720107 807695 811032 836611 850856 870030 889975 880115 896692 899950 923234 904396 888947 913125 1041051 1012495 1058819 1111943 1194445 1290482 1344767 1374645 1404294 1433437 1463272 1515191 1542316 1548643 1544234 1600943 1636961 1605987 1533510 1496666 1685079 1804252 1815637 1783842 1733243 1450280 1568636 2201991 2284976 2240106 2046350 1901415 1788215 1684717 1598786 1576562 1511516 1459939
"58" 522080 535191 514261 502572 539017 534041 560375 585233 598932 619324 636783 635321 683188 715746 730642 719325 697940 706803 711845 798470 800913 827709 841650 861965 881270 875956 896487 899098 915912 897020 881783 906484 1033640 1005577 1051876 1104702 1186727 1282079 1335906 1365580 1396155 1424942 1454447 1506258 1533845 1539598 1535570 1592678 1628874 1597827 1525041 1487991 1675830 1796317 1812180 1775827 1721558 1443003 1563340 2196860 2279461 2234632 2041495 1896814 1783418 1677048 1591969 1569861 1505015
"59" 489757 509551 524852 506836 494483 528491 525555 551469 576664 590273 608067 626047 626133 673527 705387 718491 708708 687965 697349 702934 786116 790598 818561 832916 853382 873029 874337 895746 894431 907909 889287 874470 899238 1025709 998178 1044613 1096979 1178248 1273160 1326650 1356996 1387398 1415662 1444974 1496729 1523789 1529693 1526100 1583964 1619868 1588148 1515191 1478870 1666899 1789624 1803038 1763407 1711994 1437277 1558965 2191190 2273439 2228601 2035955 1891676 1774544 1669230 1584678 1562624
"60" 434488 477483 498077 514194 498143 483348 517631 516705 542529 567253 579046 595951 615560 616468 662714 692355 705593 697932 677637 687317 692511 773256 779682 808685 823821 844024 867388 872540 891071 888398 898947 881238 866815 891819 1017271 990648 1036826 1088854 1169289 1263743 1317913 1347989 1377949 1405916 1434758 1486339 1512867 1518972 1516237 1574192 1609042 1577190 1504900 1470784 1662736 1779934 1789338 1752903 1704440 1432635 1554224 2184980 2266306 2221865 2029700 1881176 1765348 1660677 1576880
"61" 424277 422616 466356 486393 502646 486067 472122 506051 507638 532879 555602 566849 584353 604571 605454 650185 678743 692418 686670 666378 676695 681366 759548 768024 798067 814907 837373 861184 866708 884963 878861 889706 872601 858659 883512 1008686 982799 1028399 1080061 1159619 1253741 1308312 1337955 1367815 1395236 1423882 1474843 1501057 1507676 1505157 1562560 1596878 1566305 1496853 1469180 1653474 1765417 1778407 1746941 1698266 1427644 1548879 2177940 2258588 2213982 2017448 1870336 1755532 1651559
"62" 424526 412564 412329 454877 474109 490092 473919 459976 494364 497706 520976 542676 554802 572028 592532 593024 636844 664732 678580 674149 654907 665356 669643 745175 755741 787986 808274 829726 851348 859328 874479 868756 880104 863681 849897 875032 999639 974151 1019499 1070724 1149727 1243266 1297928 1327674 1356682 1383882 1412045 1462523 1488624 1495196 1492876 1550112 1584861 1557132 1494340 1460320 1639448 1753648 1771627 1739023 1691711 1422147 1542916 2170141 2249695 2199678 2005025 1858879 1744771
"63" 410856 409973 401926 401465 442576 461046 477263 460946 447887 482322 485544 507735 530131 542268 558641 579072 579598 623179 650099 664140 661335 642836 653303 657199 730737 744808 780062 800963 818460 840677 848020 863253 858202 869987 854106 840955 866117 989786 965165 1010113 1061235 1139058 1231643 1286783 1315826 1344529 1371352 1399199 1449433 1474959 1481628 1479103 1536831 1575725 1557720 1484241 1447310 1627809 1745607 1762504 1730443 1684215 1416025 1536495 2161017 2233866 2185008 1991973 1846503
"64" 393473 396132 397007 390807 389772 429547 447705 463550 447870 435420 469281 472171 494964 517043 528561 545006 564590 565922 608711 634557 650236 647908 629874 640383 644421 719172 735890 771200 790127 806714 828417 836279 851725 847192 858890 844047 831561 856440 979421 955434 1000239 1050936 1127604 1219423 1274496 1302272 1331161 1357745 1385684 1435342 1460349 1466951 1465239 1524850 1569371 1546469 1469826 1436097 1620064 1735927 1752867 1721111 1675921 1409480 1529327 2144476 2217455 2169332 1977519
"65" 388559 378645 382995 383884 378714 377584 416244 433198 449967 434628 422824 455007 459331 481721 502633 514246 530136 549890 551639 593718 620291 635853 633571 616170 626576 633053 709732 726059 759012 778432 793687 815324 823748 839515 835207 847406 833663 821622 846131 968210 944594 989778 1039960 1115432 1206358 1261105 1287481 1316584 1343629 1371004 1419814 1444344 1451485 1453058 1519634 1556102 1530435 1457374 1427406 1608913 1725716 1742284 1711138 1667142 1401990 1516662 2127187 2199952 2151627
"66" 355775 370682 365780 369434 369926 365691 365119 402138 418816 435905 420660 409056 441560 445789 467272 488029 499061 515199 534618 536412 580451 605414 620524 618247 601689 613438 624016 699526 712794 746151 764676 780463 801566 810827 826408 823033 835373 822370 810957 835298 956353 933202 978427 1028172 1102210 1192698 1246161 1271808 1301473 1327907 1354804 1403340 1427943 1436608 1442199 1505710 1539078 1516527 1446715 1416475 1597180 1714476 1730822 1700508 1657018 1389502 1503451 2109098 2181023
"67" 340069 339039 354695 352428 354891 356345 352494 351592 388065 404340 420897 405429 395788 426966 430958 452457 472155 483309 499432 518215 522313 566374 589812 603664 601956 588348 602435 613833 685420 698872 731597 750369 766101 787411 796913 813281 810385 822498 810459 799592 824013 944050 920909 966240 1015419 1088238 1177645 1230146 1255335 1284769 1310922 1337020 1385833 1411387 1423488 1427211 1487629 1523509 1503559 1434179 1404846 1584470 1702198 1718522 1688966 1640814 1376276 1489346 2089607
"68" 324674 323533 324238 338162 337946 340855 342584 338308 338333 373586 389453 404566 391069 381731 411215 415946 436455 456433 467110 482653 502443 507379 551383 573102 586132 586313 576953 590395 600156 670866 683591 716062 735141 751220 772142 782724 799441 796733 808872 797739 787880 812193 930382 907736 953052 1001403 1072816 1161283 1213318 1237509 1267233 1292495 1318832 1368012 1395425 1406792 1408536 1470771 1507206 1488407 1420762 1392110 1570777 1689235 1705152 1671411 1624046 1362326 1475908
"69" 296592 307461 309076 309056 321205 322623 326358 327751 324303 324598 357912 372468 388867 375769 366461 395241 399727 420356 439826 449407 466330 486214 491560 535261 554780 569033 572946 564738 574841 583832 654369 667447 699862 719309 735023 756964 767859 784833 782365 794434 784221 775577 798941 915772 893504 938506 986104 1056111 1144142 1194836 1218693 1247950 1273020 1299633 1350095 1377156 1386623 1390509 1454862 1490576 1472177 1406562 1378491 1556231 1674518 1685718 1652987 1606279 1347192
"70" 285808 280259 292497 294483 292721 305470 307619 310862 313296 310038 309362 340525 356739 372458 359330 350719 377934 383778 403725 421813 432533 449474 468682 474679 517114 536827 553810 558007 548831 559502 566070 636723 650639 682912 701856 718312 741260 751887 769323 767029 779728 769926 761947 784977 900102 878527 922639 969460 1038833 1125221 1175283 1198607 1227430 1253800 1284461 1330381 1355431 1366955 1373653 1436836 1473050 1454410 1390857 1363965 1540284 1653850 1665402 1633298 1586128
"71" 251566 266468 266340 277343 278838 276978 289773 291071 295899 298135 294065 292499 324410 340297 354566 342579 333774 361010 366693 385581 404068 414662 431934 450299 456175 497703 520412 537344 539789 531603 542707 549594 618219 632942 664493 684363 701166 723966 735204 752562 751027 764252 754271 747668 769691 883132 862236 905744 952160 1019532 1104982 1154397 1177407 1205866 1233568 1263554 1307671 1334313 1348630 1354225 1418130 1454086 1435493 1374777 1347910 1519292 1632099 1643658 1612216
"72" 221951 233146 250072 252086 260485 262589 261606 272707 275497 280747 281301 276486 277051 307444 322160 336140 324279 317208 343018 348410 367842 385855 396087 412891 430452 437837 479366 502746 517548 521119 512655 524619 531981 598879 613734 645584 666148 682735 706011 717564 734851 734411 746989 737739 731786 753008 864546 844592 887907 932817 999421 1083169 1132085 1155309 1185677 1211883 1240285 1285070 1313468 1327574 1334021 1397605 1433743 1415695 1356987 1327918 1497501 1608983 1620319
"73" 201043 204726 217183 233329 236290 243943 246686 244739 256828 259607 263219 262950 260374 261033 289058 303580 316416 306774 299886 323724 330316 349364 366612 376717 393050 411478 420814 460107 482062 497138 501011 493708 505703 514104 578180 594120 626095 646729 663562 686707 699215 716612 716132 728880 719627 714471 735108 844520 826095 868305 912682 977704 1060105 1108510 1133426 1162453 1187289 1216438 1263213 1291140 1305802 1312583 1375307 1412508 1393895 1334652 1306874 1474332 1584136
"74" 172069 183964 190138 201210 216018 219710 227451 229218 229218 240454 241925 244551 246128 243849 243938 270509 283651 297305 288588 281356 305175 311884 330233 346539 356037 374008 393717 402470 437718 461012 475544 480273 473780 486108 494642 557114 574068 604970 626382 642891 666583 679945 696242 696837 708962 700596 695904 715620 823691 805300 847741 891260 954806 1037250 1090193 1109068 1136778 1161989 1192833 1238237 1267472 1282314 1289514 1352204 1389223 1368652 1311307 1284592 1449818
"75" 138954 156913 169827 175506 184530 199475 203479 209797 213267 213501 222488 222757 227572 229146 226146 226675 250806 264688 277662 269187 263638 286335 292708 310123 325514 336957 356572 374661 381809 414502 439205 453560 458600 453661 464673 474433 535793 552245 583156 604170 620958 645668 658534 675079 675403 687446 679906 675986 695517 800443 784114 825817 868351 932353 1018725 1064266 1081980 1110195 1136568 1166191 1212007 1242111 1256655 1265334 1326997 1361128 1341897 1286281 1260879
"76" 114234 125871 144419 155559 160136 169041 183593 186021 193851 197312 195981 203281 205789 210409 210873 208241 208201 232256 245326 256931 250522 245517 266837 272799 289109 306194 319104 337506 353071 360321 391381 416168 430551 436500 431630 443219 453791 512847 529947 559980 581077 598154 622435 636636 652118 652436 664337 657530 655273 673273 776868 761638 802448 845820 913347 991961 1036328 1054099 1084336 1108946 1138281 1184282 1215014 1230006 1238583 1296957 1331631 1313568 1258878
"77" 100497 102628 115259 132005 140578 145621 154568 166509 170608 177812 179569 177495 186461 188793 192190 192625 189490 191440 213391 224629 237389 231498 227051 247057 252601 269557 287774 300055 316479 332402 338230 368933 392525 407375 412836 409302 421361 432066 489136 505654 535916 557073 573307 598594 612226 627470 627689 639404 634520 632214 650617 751520 737593 779247 827599 886456 962842 1006857 1026687 1055062 1079979 1108814 1154296 1186247 1200692 1207238 1265353 1299872 1281996
"78" 97823 90200 93374 104769 119071 126599 131662 138750 151585 155390 160692 161168 161370 169576 170610 173990 173432 172130 174215 193656 205481 217749 212206 208766 226595 233983 251292 268507 279413 295563 310395 316883 345965 368950 382443 389211 386859 398679 409838 464469 481112 510806 530625 547719 572740 585843 600961 601354 613828 609490 608849 626690 724659 712804 757036 801280 857813 932046 977182 995623 1023958 1049084 1076790 1122754 1154554 1166038 1173949 1231542 1265538
"79" 78168 86297 82316 84276 93582 106252 113317 116691 124998 136893 138789 142573 145307 145343 151790 153146 155358 156264 155038 156298 175815 186783 197965 193298 189901 207951 216416 232045 247640 258362 272994 287909 294640 323006 343835 357165 365275 363256 375487 386414 438506 455868 483598 503647 520093 544843 557695 573042 574453 586023 584021 583714 601557 697536 691235 730276 773135 827564 901880 944481 963362 991238 1015526 1043864 1088650 1117501 1129743 1138313 1194776
"80" 65382 67024 79529 71707 71279 77364 86864 100429 104288 109331 122017 117671 124490 128080 128272 135675 134575 140868 138405 139709 148669 152106 170040 179047 172069 170588 192108 198552 210775 223956 234262 251159 270970 273528 289565 317839 332796 338397 336391 351425 344198 414320 433812 452434 469283 492268 504046 521730 542693 546622 551420 562809 554073 575488 670559 672775 695944 749058 792952 866897 910084 928667 955834 980554 1007367 1049180 1078435 1090987 1100366
"81" 60736 55493 58668 69484 62155 62399 68022 75304 88687 92076 95518 105648 103711 109729 112152 112462 118115 118633 124461 121182 123741 131941 135164 151406 159173 154026 154488 172912 178915 190364 202407 213297 229262 248493 250051 265548 293144 306886 313119 311840 326673 320917 386141 405893 423286 440117 462131 473847 491970 511475 517700 522902 534563 525970 547919 640405 643633 666169 717069 758125 830412 873593 891792 919055 942352 966471 1007501 1036634 1049386
"82" 46563 50885 48191 50641 59484 53618 54236 58186 65679 77460 79402 81503 92084 90142 94765 96908 96701 103026 103372 107754 106194 108424 115616 119140 133265 141000 137931 137782 153513 159232 170420 182386 192659 208095 224853 227489 242309 267591 281314 287459 287381 302425 296118 358137 376765 393495 409955 430894 443778 460511 481397 487758 493380 504444 497820 520100 609087 612603 634998 682293 722238 792146 834376 853549 879099 899160 923257 962943 991707
"83" 32599 38199 43496 41166 42672 50594 45895 45706 50129 56728 65791 66996 70339 79077 76955 80722 81856 83279 88738 88013 93335 91969 93733 100357 103669 116721 124523 121215 121135 135950 140402 151629 162886 172668 186244 202280 205862 219062 242652 255837 262573 263009 276353 271648 329296 347642 363201 378615 399870 411389 430081 450172 456911 462179 474693 469394 491403 576015 580780 601103 646955 684630 751232 794492 812567 834226 854020 877579 916212
"84" 23399 26418 32151 36575 34234 35502 42794 38202 38865 42807 47512 54368 57015 59475 66151 64543 67336 69665 70799 74570 74991 79931 78533 80483 85989 89683 101739 107997 104902 104187 119280 123642 133661 144637 152774 165371 180914 183870 196406 218354 230836 238358 237536 251660 246777 300604 317788 332487 347919 367416 380956 399122 418392 424072 431572 444335 440586 461389 542287 546087 566442 609751 644898 709594 751260 766149 787167 806653 830224
"85" 17483 18741 22016 26676 29947 28152 29355 34838 32069 32607 35487 38799 45684 47803 49275 54842 53055 56197 58280 58704 62653 63083 67187 66340 67845 73208 77354 86872 91831 89986 88317 103304 107699 116914 126378 133706 146080 159576 162928 174606 195058 206984 213316 213634 226043 222491 271592 287943 302477 316594 336676 349801 367688 384886 392657 400741 413546 409975 430852 505547 511303 529938 570285 604329 664586 703155 717880 738052 756701
"86" 15199 13703 15297 17886 21474 24305 22959 23362 28665 26521 26595 28375 32101 37708 38812 39935 44251 43673 46246 47431 48591 51917 52093 56016 54888 56715 61749 65357 72861 78078 75837 75420 88550 93168 100402 109082 116540 127146 139778 142860 153834 172728 182574 189548 189486 201406 198289 243118 258736 271792 286951 306214 319346 335101 353220 361338 369612 381969 379180 398431 468729 475313 492409 530817 560509 616610 654163 667700 687154
"87" 11347 11608 11037 12195 14085 17080 19645 17922 18901 23381 21124 20774 23058 25911 30206 30989 31485 35763 35523 36730 38563 39572 42104 42559 45546 45486 47303 50853 54102 60520 65263 63734 63643 75413 78685 85263 94003 99872 109662 120933 124137 134399 150228 159871 165931 166602 177528 175234 216059 229727 243737 257694 276192 287473 304153 321582 330128 338130 350266 347002 365755 431223 437674 454604 488916 515391 567052 603158 616596
"88" 8822 8605 9203 8694 9366 11089 13467 14963 14195 14998 18201 16205 16635 18323 20264 23693 23945 25007 28498 27790 29425 30784 31410 33722 33996 36890 37211 38394 40909 43590 49627 53812 52849 53262 62660 65982 72021 79401 84867 93407 103583 106955 114962 129830 137736 143895 144619 154410 153223 188987 203585 216190 229477 245461 257784 273853 290600 298432 306535 317087 315610 332735 392730 400455 414540 445342 469081 516781 551393
"89" 6422 6541 6660 7079 6555 7149 8564 10011 11743 11077 11362 13644 12715 13077 14118 15507 17879 18600 19636 21848 21703 22996 24056 24623 26568 27057 29520 29616 30407 32996 34273 40187 43751 43459 43444 51561 54855 59637 66193 70876 78782 87795 89799 97537 110136 117480 123141 124029 133322 131864 164860 178253 189848 201241 217415 229222 244741 259568 267901 274254 284693 283714 299588 354780 361301 373327 401232 422890 467113
"90" 4536 4618 4954 4993 5210 4875 5382 6256 7550 9076 8217 8280 10313 9709 9761 10675 11454 13620 14166 14689 16760 16616 17520 18530 18874 20727 21344 22900 23011 23692 26094 27296 32119 35467 34598 34975 42236 44508 48978 54334 58453 65810 72505 75196 80963 92265 98742 103974 105390 113114 113350 141950 154646 163958 175972 190932 201847 215633 229784 236168 243026 252709 251627 267083 315676 320972 332185 357189 377165
"91" 3022 3136 3480 3708 3586 3859 3650 3852 4579 5645 6710 5871 6231 7706 7026 7125 7733 8558 10213 10275 11095 12536 12501 13182 13867 14574 16021 16285 17157 17501 17996 20330 21204 25486 27506 27362 28111 33610 35706 39444 44288 47550 53391 59469 61552 66683 76066 81496 86724 87592 95635 96012 121052 130903 141017 151994 165792 175252 188126 199603 206138 212579 220997 221413 234038 276050 281047 291616 314374
"92" 2115 2080 2290 2514 2583 2540 2811 2528 2775 3436 3926 4631 4318 4497 5522 4997 5038 5662 6294 7243 7544 8125 9107 9246 9625 10302 11071 11823 12126 12713 12893 13666 15443 16364 19423 21196 21548 21840 26434 28277 31356 35646 37753 42978 47513 49490 54024 61929 66704 70668 72726 79660 80353 100948 110594 119964 129609 141795 150407 161016 171533 177573 183270 191409 190941 201586 237726 243113 253022
"93" 1301 1358 1529 1593 1716 1793 1762 1885 1807 1964 2339 2652 3324 3023 3093 3823 3426 3613 3982 4324 5202 5388 5737 6603 6587 7050 7500 7990 8443 8850 9370 9604 10155 11708 12182 14595 16206 16387 16837 20389 22061 24792 27821 29739 33667 37688 39227 42882 49678 53180 57583 59571 65555 65812 83661 92335 100775 109048 119826 126371 136224 145239 150136 155868 162003 161429 170480 202155 207618
"94" 877 852 958 1065 1083 1180 1225 1164 1273 1228 1341 1506 1837 2290 2079 2037 2531 2396 2524 2748 3005 3650 3752 4081 4619 4754 5115 5283 5578 5983 6250 6782 6964 7476 8454 8949 10967 12101 12217 12675 15462 16928 18936 21502 22641 26041 29296 30408 33625 38815 42474 45962 47965 52360 53527 68539 76253 82737 90349 98437 104545 113203 120584 125189 129436 134651 134169 142343 169761
"95" 474 544 586 649 690 710 784 812 790 841 804 860 991 1268 1479 1391 1317 1740 1648 1643 1859 2065 2475 2567 2763 3234 3355 3526 3578 3782 4156 4456 4825 5088 5343 6082 6592 7954 8924 8990 9457 11650 12522 14233 16194 17130 19661 22310 23332 25675 30375 33276 36212 37647 41964 43045 55694 61513 67218 72954 79946 85137 92161 98801 101765 104915 109443 109408 116853
"96" 321 287 369 396 424 464 475 506 524 521 536 492 571 630 825 949 861 876 1146 1068 1083 1219 1369 1660 1716 1880 2267 2236 2370 2378 2434 2893 3102 3429 3485 3703 4336 4656 5736 6348 6545 6977 8478 9257 10433 12026 12722 14478 16771 17465 19591 23362 25559 27671 29419 33007 34161 43979 48779 52824 58049 63504 67523 73838 78579 80923 83334 87258 88205
"97" 218 197 196 246 244 273 330 278 331 369 301 321 319 360 372 530 557 569 536 725 678 688 753 892 1079 1156 1271 1469 1413 1529 1555 1625 1972 2125 2329 2378 2584 2989 3322 4057 4472 4696 4985 6019 6528 7555 8762 9198 10667 12332 13099 14637 17699 19078 21094 22550 25607 26413 34248 37478 41095 45391 49214 52800 57202 60949 62719 64950 68655
"98" 138 119 127 123 158 139 177 200 179 193 218 168 197 206 204 213 308 340 351 324 459 426 448 506 569 701 770 820 922 879 954 1032 1086 1316 1383 1520 1639 1739 2033 2310 2760 3152 3228 3466 4144 4615 5349 6213 6555 7572 8970 9569 10775 12879 14256 15938 16997 19408 20076 25728 28341 31227 34353 37521 39870 43265 45946 47546 49961
"99" 56 71 79 81 61 82 81 99 122 108 115 115 112 124 125 115 113 187 196 195 189 276 254 287 302 369 449 434 487 575 534 604 691 720 822 853 1018 1077 1174 1338 1574 1859 2073 2185 2348 2794 3249 3686 4364 4473 5337 6390 6991 7684 9415 10445 11792 12538 14389 14698 18961 21097 22946 25421 27711 29217 31803 33925 35677
"100" 39 27 43 49 49 47 46 46 66 68 61 69 77 60 65 74 62 65 99 107 112 116 159 165 171 190 239 255 255 280 336 350 386 429 434 517 545 616 699 733 879 1075 1228 1378 1454 1564 1898 2157 2525 2990 3133 3706 4535 4830 5420 6700 7486 8450 8985 10180 10557 13513 15185 16592 18109 19676 20737 22923 24718
"101" 17 19 18 28 33 36 30 22 21 40 35 31 39 48 31 33 39 34 30 59 66 61 73 97 96 113 128 145 158 134 172 185 202 254 257 251 326 349 394 445 478 600 652 799 856 970 1043 1192 1393 1611 2018 2125 2505 3050 3346 3810 4671 5242 5899 6246 7063 7358 9287 10649 11471 12351 13566 14472 16119
"102" 15 10 14 10 15 22 24 18 14 8 25 17 18 26 25 19 16 25 23 19 30 40 37 36 49 61 81 78 80 83 68 101 115 126 150 164 154 203 219 227 280 298 378 421 484 535 596 698 757 861 1067 1327 1442 1610 2043 2230 2522 3206 3517 3976 4223 4804 4867 6354 7051 7539 8239 9083 9903
"103" 8 7 8 7 7 11 16 13 10 9 7 13 10 9 14 13 12 10 12 11 11 17 23 21 24 31 39 52 45 40 50 39 57 60 72 86 110 97 117 124 141 168 174 243 227 276 358 383 428 467 569 701 844 914 1066 1304 1478 1650 2102 2245 2587 2809 3050 3225 4133 4591 4819 5345 6043
"104" 5 3 3 6 4 4 7 11 7 5 5 2 9 6 5 8 5 6 4 5 3 6 7 10 8 16 24 24 27 16 27 26 23 32 30 47 53 55 50 70 72 90 96 93 138 126 160 212 217 238 299 349 451 526 584 684 854 964 1044 1308 1450 1584 1724 1954 2024 2547 2823 3034 3479
"105" 6 2 2 3 5 4 3 5 7 4 2 2 1 5 4 4 2 3 4 0 4 3 4 6 6 4 8 11 13 12 8 16 8 12 16 12 31 35 34 31 32 43 56 53 54 78 70 102 127 107 157 183 212 258 315 359 429 560 589 642 780 932 970 1075 1146 1180 1495 1731 1918
"106" 3 1 1 1 3 2 3 2 5 5 3 1 1 1 3 3 3 1 1 1 0 0 2 4 4 3 2 4 6 5 9 4 9 6 8 9 6 13 17 19 17 17 30 32 26 31 39 38 60 66 56 90 104 117 139 195 219 263 341 365 384 471 559 541 665 670 668 878 1037
"107" 2 3 1 1 1 3 2 2 1 4 4 2 0 0 0 3 1 1 1 1 0 0 0 2 2 1 3 1 3 4 2 5 3 4 2 4 5 1 9 10 10 11 12 16 21 10 17 22 29 32 48 24 51 54 68 64 113 129 167 197 204 229 255 306 303 343 354 390 515
"108" 2 1 1 1 1 0 2 1 2 1 4 2 1 0 0 0 3 0 1 1 0 0 0 0 2 1 1 1 0 0 3 0 2 3 2 0 2 4 1 2 5 10 8 7 7 11 8 12 10 16 16 24 16 28 30 36 41 60 76 88 108 121 128 145 164 162 187 193 217
